AND3,	15.333100, 40.929800,   905, 0.47
AVG3,	15.725100, 40.761900,  1213, 0.47
BEL3,	15.636900, 40.715300,   758, 0.47
BENI,	14.771600, 41.129800,    75, 0.47
BSC3,	15.385200, 41.012000,   980, 0.47
CGG3,	15.522500, 40.542000,  1067, 0.47
CLT3,	15.404300, 40.903000,   525, 0.47
CMP3,	15.080200, 40.651900,   958, 0.47
COL3,	15.330400, 40.687100,  1026, 0.47
CSG3,	15.463300, 40.818100,  1253, 0.47
LGS3,	14.990600, 40.986500,   413, 0.47
LIO3,	15.180400, 40.896900,   737, 0.47
LPI3,	14.931000, 40.966800,   548, 0.47
MNT3,	15.006700, 40.837000,   866, 0.47
MRN3,	15.729600, 40.425600,   772, 0.47
NAPI,	14.180000, 40.840000,   120, 0.47
NSC3,	15.122200, 40.846800,  1300, 0.47
PGN3,	15.796700, 40.572200,   882, 0.47
PST3,	15.243300, 40.560900,   762, 0.47
RDM3,	15.536100, 40.875500,   784, 0.47
RSA3,	15.442500, 41.087700,   531, 0.47
RSF3,	15.176000, 40.964300,   865, 0.47
SALI,	15.180000, 40.930000,   872, 0.47
SCL3,	15.511400, 40.695100,   744, 0.47
SFL3,	15.578200, 40.788900,  1062, 0.47
SNR3,	15.192700, 40.735700,  1008, 0.47
SRN3,	15.458000, 40.486100,  1067, 0.47
SSB3,	15.229200, 41.078500,   724, 0.47
STN3,	15.651500, 40.530000,   832, 0.47
TEO3,	15.263300, 40.844700,   870, 0.47
VDP3,	15.572100, 40.605200,   959, 0.47
VDS3,	15.427000, 40.740800,  1154, 0.47
VGG3,	15.901000, 40.336000,   882, 0.47
MAJI,	14.444100, 40.888400,   116, 0.47
MOTI,	15.013900, 40.845500,   600, 0.47
TEGI,	15.536500, 40.379900,   568, 0.47
