Lon,Lat,Elev,ampli47
5.9,45.8,0,1.03
5.9,45.825,0,1.03
5.9,45.85,0,1.03
5.9,45.875,0,0.99
5.9,45.9,0,0.86
5.9,45.925,0,0.99
5.9,45.95,0,0.99
5.9,45.975,0,0.86
5.9,46,0,0.86
5.9,46.025,0,0.88
5.9,46.05,0,0.86
5.9,46.075,0,0.86
5.9,46.1,0,0.96
5.9,46.125,0,1.11
5.9,46.15,0,0.86
5.9,46.175,0,1.11
5.9,46.2,0,0.96
5.9,46.225,0,0.96
5.9,46.25,0,0.47
5.9,46.275,0,0.96
5.9,46.3,0,0.94
5.9,46.325,0,0.96
5.9,46.35,0,1.11
5.9,46.375,0,0.96
5.9,46.4,0,0.96
5.9,46.425,0,1.11
5.9,46.45,0,0.96
5.9,46.475,0,0.96
5.9,46.5,0,0.96
5.9,46.525,0,1.11
5.9,46.55,0,1.11
5.9,46.575,0,0.96
5.9,46.6,0,0.96
5.9,46.625,0,1.11
5.9,46.65,0,0.96
5.9,46.675,0,0.96
5.9,46.7,0,0.96
5.9,46.725,0,0.96
5.9,46.75,0,0.94
5.9,46.775,0,0.47
5.9,46.8,0,0.47
5.9,46.825,0,0.47
5.9,46.85,0,0.47
5.9,46.875,0,0.47
5.9,46.9,0,0.47
5.9,46.925,0,0.47
5.9,46.95,0,0.47
5.9,46.975,0,0.47
5.9,47,0,0.47
5.9,47.025,0,0.47
5.9,47.05,0,0.96
5.9,47.075,0,0.96
5.9,47.1,0,0.47
5.9,47.125,0,0.47
5.9,47.15,0,0.96
5.9,47.175,0,0.88
5.9,47.2,0,0.47
5.9,47.225,0,0.47
5.9,47.25,0,0.47
5.9,47.275,0,0.47
5.9,47.3,0,0.47
5.9,47.325,0,0.88
5.9,47.35,0,0.96
5.9,47.375,0,0.96
5.9,47.4,0,0.96
5.9,47.425,0,0.94
5.9,47.45,0,0.96
5.9,47.475,0,0.47
5.9,47.5,0,0.47
5.9,47.525,0,0.47
5.9,47.55,0,0.96
5.9,47.575,0,0.96
5.9,47.6,0,0.94
5.9,47.625,0,0.88
5.9,47.65,0,0.96
5.9,47.675,0,0.96
5.9,47.7,0,0.94
5.9,47.725,0,0.94
5.9,47.75,0,0.47
5.9,47.775,0,0.47
5.9,47.8,0,0.47
5.925,45.8,0,1.03
5.925,45.825,0,1.03
5.925,45.85,0,0.86
5.925,45.875,0,1.03
5.925,45.9,0,0.94
5.925,45.925,0,0.86
5.925,45.95,0,1.03
5.925,45.975,0,0.86
5.925,46,0,0.86
5.925,46.025,0,0.86
5.925,46.05,0,0.86
5.925,46.075,0,1.11
5.925,46.1,0,1.05
5.925,46.125,0,0.94
5.925,46.15,0,0.86
5.925,46.175,0,0.86
5.925,46.2,0,1.11
5.925,46.225,0,0.96
5.925,46.25,0,0.96
5.925,46.275,0,0.93
5.925,46.3,0,1.11
5.925,46.325,0,0.96
5.925,46.35,0,0.96
5.925,46.375,0,1.11
5.925,46.4,0,0.96
5.925,46.425,0,0.96
5.925,46.45,0,1.11
5.925,46.475,0,0.96
5.925,46.5,0,0.96
5.925,46.525,0,0.96
5.925,46.55,0,1.11
5.925,46.575,0,0.86
5.925,46.6,0,0.96
5.925,46.625,0,0.96
5.925,46.65,0,1.11
5.925,46.675,0,0.96
5.925,46.7,0,0.96
5.925,46.725,0,0.47
5.925,46.75,0,0.47
5.925,46.775,0,0.94
5.925,46.8,0,0.47
5.925,46.825,0,0.88
5.925,46.85,0,0.47
5.925,46.875,0,0.47
5.925,46.9,0,0.47
5.925,46.925,0,0.47
5.925,46.95,0,0.96
5.925,46.975,0,0.96
5.925,47,0,0.47
5.925,47.025,0,0.47
5.925,47.05,0,0.47
5.925,47.075,0,0.47
5.925,47.1,0,0.47
5.925,47.125,0,0.47
5.925,47.15,0,1.22
5.925,47.175,0,0.47
5.925,47.2,0,0.47
5.925,47.225,0,0.47
5.925,47.25,0,0.47
5.925,47.275,0,0.47
5.925,47.3,0,0.47
5.925,47.325,0,0.96
5.925,47.35,0,0.96
5.925,47.375,0,0.96
5.925,47.4,0,0.96
5.925,47.425,0,0.94
5.925,47.45,0,0.94
5.925,47.475,0,0.96
5.925,47.5,0,0.47
5.925,47.525,0,0.47
5.925,47.55,0,0.47
5.925,47.575,0,0.47
5.925,47.6,0,0.96
5.925,47.625,0,0.96
5.925,47.65,0,0.96
5.925,47.675,0,0.96
5.925,47.7,0,0.94
5.925,47.725,0,0.94
5.925,47.75,0,0.47
5.925,47.775,0,0.47
5.925,47.8,0,0.88
5.95,45.8,0,0.86
5.95,45.825,0,0.86
5.95,45.85,0,0.86
5.95,45.875,0,0.86
5.95,45.9,0,0.86
5.95,45.925,0,1.03
5.95,45.95,0,0.86
5.95,45.975,0,1.03
5.95,46,0,0.99
5.95,46.025,0,0.86
5.95,46.05,0,1.11
5.95,46.075,0,0.86
5.95,46.1,0,0.86
5.95,46.125,0,0.86
5.95,46.15,0,0.86
5.95,46.175,0,0.86
5.95,46.2,0,0.86
5.95,46.225,0,1.11
5.95,46.25,0,0.96
5.95,46.275,0,0.96
5.95,46.3,0,0.96
5.95,46.325,0,1.11
5.95,46.35,0,0.96
5.95,46.375,0,0.96
5.95,46.4,0,1.11
5.95,46.425,0,0.96
5.95,46.45,0,0.96
5.95,46.475,0,0.96
5.95,46.5,0,1.11
5.95,46.525,0,0.96
5.95,46.55,0,0.96
5.95,46.575,0,1.11
5.95,46.6,0,1.11
5.95,46.625,0,0.96
5.95,46.65,0,1.11
5.95,46.675,0,0.96
5.95,46.7,0,0.47
5.95,46.725,0,0.47
5.95,46.75,0,0.47
5.95,46.775,0,0.47
5.95,46.8,0,0.47
5.95,46.825,0,0.47
5.95,46.85,0,0.96
5.95,46.875,0,0.96
5.95,46.9,0,0.96
5.95,46.925,0,0.47
5.95,46.95,0,0.47
5.95,46.975,0,0.47
5.95,47,0,0.47
5.95,47.025,0,0.47
5.95,47.05,0,0.96
5.95,47.075,0,0.96
5.95,47.1,0,0.47
5.95,47.125,0,0.47
5.95,47.15,0,0.47
5.95,47.175,0,0.96
5.95,47.2,0,0.96
5.95,47.225,0,0.47
5.95,47.25,0,0.47
5.95,47.275,0,0.47
5.95,47.3,0,0.88
5.95,47.325,0,0.47
5.95,47.35,0,0.96
5.95,47.375,0,0.96
5.95,47.4,0,0.94
5.95,47.425,0,1.19
5.95,47.45,0,0.94
5.95,47.475,0,0.96
5.95,47.5,0,1.19
5.95,47.525,0,0.47
5.95,47.55,0,0.47
5.95,47.575,0,0.96
5.95,47.6,0,0.96
5.95,47.625,0,0.94
5.95,47.65,0,0.96
5.95,47.675,0,0.94
5.95,47.7,0,0.94
5.95,47.725,0,0.94
5.95,47.75,0,0.47
5.95,47.775,0,0.47
5.95,47.8,0,0.47
5.975,45.8,0,0.86
